2,1,features.0,[1 0 2 1],-70.0,58.0,76.94,0.21999999999999886
2,2,features.0,[25  1  1  1],117.0,-11.0,76.82,0.12000000000000455
2,3,features.0,[25  1  2  1],109.0,-19.0,76.69,0.12999999999999545
2,4,features.0,[25  1  2  2],14.0,-114.0,76.64,0.04999999999999716
2,5,features.0,[25  1  2  0],18.0,-110.0,76.05,0.5900000000000034
4,6,features.2,[ 0 25  0  2],-34.0,94.0,75.44,0.6099999999999994
4,7,features.2,[ 0 25  0  1],-36.0,92.0,74.29,1.1499999999999915
2,8,features.0,[25  1  0  2],116.0,-12.0,72.91,1.3800000000000097
4,9,features.2,[ 0 25  0  0],-79.0,49.0,71.48,1.4299999999999926
2,10,features.0,[25  2  1  2],17.0,-111.0,69.86,1.6200000000000045
2,11,features.0,[25  1  0  1],126.0,-2.0,68.17,1.6899999999999977
2,12,features.0,[25  2  2  1],126.0,-2.0,66.39,1.7800000000000011
2,13,features.0,[25  2  0  2],99.0,-29.0,64.68,1.7099999999999937
2,14,features.0,[25  2  1  1],119.0,-9.0,62.95,1.730000000000004
2,15,features.0,[25  2  0  1],119.0,-9.0,61.4,1.5500000000000043
4,16,features.2,[ 0 25  1  2],38.0,102.0,60.05,1.3500000000000014
2,17,features.0,[25  2  1  0],32.0,-96.0,58.1,1.9499999999999957
8,18,features.6,[7 0 2 1],44.0,-84.0,57.43,0.6700000000000017
8,19,features.6,[9 0 0 0],-23.0,105.0,56.28,1.1499999999999986
8,20,features.6,[9 0 0 2],-17.0,111.0,54.9,1.3800000000000026
8,21,features.6,[9 0 0 1],-19.0,109.0,53.46,1.4399999999999977
4,22,features.2,[ 0 25  1  1],30.0,94.0,51.13,2.3299999999999983
8,23,features.6,[9 0 2 1],60.0,124.0,49.65,1.480000000000004
4,24,features.2,[ 0 25  2  2],31.0,95.0,47.48,2.1700000000000017
8,25,features.6,[9 0 2 0],50.0,114.0,46.13,1.3499999999999943
8,26,features.6,[9 0 2 2],55.0,119.0,45.0,1.1300000000000026
2,27,features.0,[25  1  1  0],64.0,-64.0,42.83,2.1700000000000017
4,28,features.2,[ 0 25  1  0],28.0,92.0,41.07,1.759999999999998
8,29,features.6,[9 0 1 1],16.0,80.0,39.67,1.3999999999999986
10,30,features.8,[2 9 2 2],-70.0,58.0,38.77,0.8999999999999986
