2,1,features.0,[19  0  2  2],-115.0,13.0,81.14,-0.09000000000000341
8,2,features.6,[13 11  1  2],-2.0,126.0,81.04,0.09999999999999432
8,3,features.6,[13  3  1  2],-30.0,98.0,80.79,0.25
8,4,features.6,[13 27  2  2],-47.0,81.0,80.55,0.2400000000000091
8,5,features.6,[13  3  0  2],-76.0,52.0,80.31,0.23999999999999488
8,6,features.6,[13 11  2  1],-18.0,110.0,80.09,0.21999999999999886
8,7,features.6,[13 21  0  2],-1.0,127.0,79.67,0.4200000000000017
8,8,features.6,[13 21  1  2],-46.0,82.0,79.28,0.39000000000000057
8,9,features.6,[13  8  1  2],-39.0,89.0,78.7,0.5799999999999983
8,10,features.6,[13 11  0  1],-4.0,124.0,78.33,0.37000000000000455
8,11,features.6,[13 11  1  0],-8.0,120.0,77.95,0.37999999999999545
10,12,features.8,[58 13  2  1],-16.0,112.0,77.4,0.5499999999999972
8,13,features.6,[13  8  0  2],-46.0,82.0,76.85,0.5500000000000114
10,14,features.8,[14 13  2  1],-7.0,121.0,76.27,0.5799999999999983
8,15,features.6,[13 27  0  0],-31.0,97.0,75.57,0.7000000000000028
8,16,features.6,[13 21  0  1],-56.0,72.0,74.76,0.8099999999999881
8,17,features.6,[13 21  1  0],-24.0,104.0,73.87,0.8900000000000006
4,18,features.2,[21 31  0  2],-10.0,118.0,73.31,0.5600000000000023
4,19,features.2,[21 12  0  2],-28.0,100.0,72.55,0.7600000000000051
4,20,features.2,[21 30  0  0],-83.0,45.0,71.48,1.0699999999999932
4,21,features.2,[21 30  0  1],-9.0,119.0,70.41,1.0700000000000074
4,22,features.2,[21 31  0  0],-5.0,123.0,68.98,1.4299999999999926
4,23,features.2,[21  8  0  2],-31.0,97.0,67.4,1.5799999999999983
4,24,features.2,[21 31  0  1],-20.0,108.0,65.82,1.5800000000000125
4,25,features.2,[21  3  0  1],-2.0,126.0,63.87,1.9499999999999957
4,26,features.2,[21 26  0  1],-27.0,101.0,61.98,1.8900000000000006
4,27,features.2,[21  8  2  2],-123.0,5.0,60.06,1.9199999999999946
4,28,features.2,[21  3  0  0],-17.0,111.0,57.67,2.3900000000000006
4,29,features.2,[21 20  0  2],-75.0,53.0,55.67,2.0
4,30,features.2,[21 30  2  1],-100.0,28.0,53.74,1.9299999999999997
