12,1,1.module.1.0,[3 0 0 0],29.0,-99.0,47.18,4.0
12,2,1.module.1.0,[2 0 0 2],110.0,-18.0,46.17,1.009999999999998
12,3,1.module.1.0,[6 0 1 0],122.0,-6.0,39.87,6.300000000000004
8,4,1.module.0.0,[0 2 2 2],-112.0,16.0,33.99,5.8799999999999955
12,5,1.module.1.0,[3 0 0 1],125.0,-3.0,28.57,5.420000000000002
12,6,1.module.1.0,[2 0 1 2],99.0,-29.0,25.48,3.09
8,7,1.module.0.0,[0 2 0 2],-6.0,122.0,23.09,2.3900000000000006
12,8,1.module.1.0,[4 0 1 1],-117.0,11.0,22.0,1.0899999999999999
22,9,2.module.0.0,[5 2 1 1],-122.0,6.0,18.6,3.3999999999999986
12,10,1.module.1.0,[0 0 1 2],-39.0,89.0,16.01,2.59
12,11,1.module.1.0,[0 0 2 2],-44.0,84.0,14.63,1.3800000000000008
2,12,0.0,[2 1 2 2],108.0,-20.0,13.65,0.9800000000000004
12,13,1.module.1.0,[4 0 2 2],72.0,-56.0,12.67,0.9800000000000004
2,14,0.0,[0 2 0 0],115.0,-13.0,12.19,0.4800000000000004
2,15,0.0,[2 0 2 2],122.0,-6.0,11.66,0.5299999999999994
2,16,0.0,[2 1 1 1],127.0,-1.0,11.39,0.2699999999999996
16,17,1.module.2.0,[7 4 2 1],-71.0,57.0,11.18,0.21000000000000085
38,18,5.module.0.0,[15  2  0  2],-65.0,63.0,10.94,0.2400000000000002
